date,SYMC stock,isPartial
2018-07-01,0,False
2018-07-02,0,False
2018-07-03,72,False
2018-07-04,50,False
2018-07-05,37,False
2018-07-06,48,False
2018-07-07,0,False
2018-07-08,28,False
2018-07-09,59,False
2018-07-10,69,False
2018-07-11,44,False
2018-07-12,62,False
2018-07-13,26,False
2018-07-14,0,False
2018-07-15,0,False
2018-07-16,24,False
2018-07-17,24,False
2018-07-18,61,False
2018-07-19,50,False
2018-07-20,38,False
2018-07-21,28,False
2018-07-22,0,False
2018-07-23,49,False
2018-07-24,72,False
2018-07-25,48,False
2018-07-26,24,False
2018-07-27,100,False
2018-07-28,28,False
2018-07-29,0,False
2018-07-30,48,False
2018-07-31,36,False
