date,CTSH stock,isPartial
2013-11-01,30,False
2013-11-02,0,False
2013-11-03,0,False
2013-11-04,41,False
2013-11-05,55,False
2013-11-06,42,False
2013-11-07,47,False
2013-11-08,44,False
2013-11-09,0,False
2013-11-10,0,False
2013-11-11,28,False
2013-11-12,55,False
2013-11-13,55,False
2013-11-14,42,False
2013-11-15,49,False
2013-11-16,44,False
2013-11-17,32,False
2013-11-18,41,False
2013-11-19,68,False
2013-11-20,41,False
2013-11-21,46,False
2013-11-22,100,False
2013-11-23,32,False
2013-11-24,0,False
2013-11-25,36,False
2013-11-26,40,False
2013-11-27,37,False
2013-11-28,29,False
2013-11-29,89,False
2013-11-30,0,False
