date,GRMN stock,isPartial
2016-11-01,74,False
2016-11-02,72,False
2016-11-03,72,False
2016-11-04,75,False
2016-11-05,0,False
2016-11-06,80,False
2016-11-07,70,False
2016-11-08,70,False
2016-11-09,98,False
2016-11-10,72,False
2016-11-11,75,False
2016-11-12,0,False
2016-11-13,0,False
2016-11-14,71,False
2016-11-15,0,False
2016-11-16,0,False
2016-11-17,71,False
2016-11-18,0,False
2016-11-19,0,False
2016-11-20,0,False
2016-11-21,70,False
2016-11-22,70,False
2016-11-23,72,False
2016-11-24,73,False
2016-11-25,72,False
2016-11-26,0,False
2016-11-27,0,False
2016-11-28,100,False
2016-11-29,68,False
2016-11-30,68,False
