date,CSCO stock,isPartial
2013-07-01,44,False
2013-07-02,44,False
2013-07-03,69,False
2013-07-04,26,False
2013-07-05,43,False
2013-07-06,31,False
2013-07-07,0,False
2013-07-08,29,False
2013-07-09,59,False
2013-07-10,25,False
2013-07-11,100,False
2013-07-12,89,False
2013-07-13,37,False
2013-07-14,27,False
2013-07-15,74,False
2013-07-16,34,False
2013-07-17,85,False
2013-07-18,66,False
2013-07-19,52,False
2013-07-20,55,False
2013-07-21,73,False
2013-07-22,49,False
2013-07-23,63,False
2013-07-24,40,False
2013-07-25,15,False
2013-07-26,31,False
2013-07-27,30,False
2013-07-28,18,False
2013-07-29,44,False
2013-07-30,34,False
2013-07-31,40,False
