date,MRVL stock,isPartial
2019-02-01,29,False
2019-02-02,0,False
2019-02-03,0,False
2019-02-04,43,False
2019-02-05,57,False
2019-02-06,70,False
2019-02-07,71,False
2019-02-08,87,False
2019-02-09,64,False
2019-02-10,0,False
2019-02-11,54,False
2019-02-12,55,False
2019-02-13,98,False
2019-02-14,100,False
2019-02-15,73,False
2019-02-16,33,False
2019-02-17,0,False
2019-02-18,0,False
2019-02-19,70,False
2019-02-20,56,False
2019-02-21,42,False
2019-02-22,87,False
2019-02-23,0,False
2019-02-24,0,False
2019-02-25,97,False
2019-02-26,70,False
2019-02-27,27,False
2019-02-28,71,False
