date,MDLZ stock,isPartial
2013-02-01,50,False
2013-02-02,0,False
2013-02-03,56,False
2013-02-04,48,False
2013-02-05,48,False
2013-02-06,48,False
2013-02-07,49,False
2013-02-08,51,False
2013-02-09,0,False
2013-02-10,58,False
2013-02-11,0,False
2013-02-12,100,False
2013-02-13,49,False
2013-02-14,49,False
2013-02-15,51,False
2013-02-16,0,False
2013-02-17,0,False
2013-02-18,0,False
2013-02-19,0,False
2013-02-20,0,False
2013-02-21,48,False
2013-02-22,0,False
2013-02-23,56,False
2013-02-24,0,False
2013-02-25,47,False
2013-02-26,47,False
2013-02-27,95,False
2013-02-28,0,False
