date,MRVL stock,isPartial
2018-10-01,0,False
2018-10-02,23,False
2018-10-03,23,False
2018-10-04,71,False
2018-10-05,100,False
2018-10-06,27,False
2018-10-07,0,False
2018-10-08,24,False
2018-10-09,57,False
2018-10-10,95,False
2018-10-11,36,False
2018-10-12,50,False
2018-10-13,0,False
2018-10-14,0,False
2018-10-15,48,False
2018-10-16,83,False
2018-10-17,72,False
2018-10-18,73,False
2018-10-19,76,False
2018-10-20,0,False
2018-10-21,0,False
2018-10-22,24,False
2018-10-23,35,False
2018-10-24,47,False
2018-10-25,0,False
2018-10-26,75,False
2018-10-27,26,False
2018-10-28,0,False
2018-10-29,23,False
2018-10-30,70,False
2018-10-31,24,False
