date,EXPE stock,isPartial
2018-07-01,0,False
2018-07-02,9,False
2018-07-03,9,False
2018-07-04,0,False
2018-07-05,10,False
2018-07-06,19,False
2018-07-07,11,False
2018-07-08,22,False
2018-07-09,14,False
2018-07-10,9,False
2018-07-11,9,False
2018-07-12,20,False
2018-07-13,10,False
2018-07-14,11,False
2018-07-15,0,False
2018-07-16,15,False
2018-07-17,39,False
2018-07-18,10,False
2018-07-19,13,False
2018-07-20,10,False
2018-07-21,0,False
2018-07-22,0,False
2018-07-23,10,False
2018-07-24,29,False
2018-07-25,10,False
2018-07-26,100,False
2018-07-27,66,False
2018-07-28,22,False
2018-07-29,17,False
2018-07-30,33,False
2018-07-31,19,False
