date,EXPE stock,isPartial
2012-10-01,0,False
2012-10-02,0,False
2012-10-03,0,False
2012-10-04,0,False
2012-10-05,0,False
2012-10-06,0,False
2012-10-07,0,False
2012-10-08,83,False
2012-10-09,0,False
2012-10-10,0,False
2012-10-11,0,False
2012-10-12,0,False
2012-10-13,0,False
2012-10-14,0,False
2012-10-15,0,False
2012-10-16,0,False
2012-10-17,0,False
2012-10-18,0,False
2012-10-19,0,False
2012-10-20,100,False
2012-10-21,0,False
2012-10-22,0,False
2012-10-23,0,False
2012-10-24,83,False
2012-10-25,0,False
2012-10-26,89,False
2012-10-27,0,False
2012-10-28,0,False
2012-10-29,80,False
2012-10-30,0,False
2012-10-31,0,False
