date,ADBE stock,isPartial
2018-02-01,97,False
2018-02-02,100,False
2018-02-03,20,False
2018-02-04,32,False
2018-02-05,28,False
2018-02-06,90,False
2018-02-07,56,False
2018-02-08,80,False
2018-02-09,44,False
2018-02-10,68,False
2018-02-11,58,False
2018-02-12,63,False
2018-02-13,80,False
2018-02-14,63,False
2018-02-15,64,False
2018-02-16,53,False
2018-02-17,20,False
2018-02-18,0,False
2018-02-19,28,False
2018-02-20,67,False
2018-02-21,61,False
2018-02-22,62,False
2018-02-23,64,False
2018-02-24,19,False
2018-02-25,19,False
2018-02-26,61,False
2018-02-27,77,False
2018-02-28,55,False
