date,ODP stock,isPartial
2019-01-01,0,False
2019-01-02,100,False
2019-01-03,98,False
2019-01-04,33,False
2019-01-05,36,False
2019-01-06,0,False
2019-01-07,0,False
2019-01-08,94,False
2019-01-09,63,False
2019-01-10,32,False
2019-01-11,66,False
2019-01-12,71,False
2019-01-13,0,False
2019-01-14,0,False
2019-01-15,62,False
2019-01-16,32,False
2019-01-17,47,False
2019-01-18,65,False
2019-01-19,36,False
2019-01-20,0,False
2019-01-21,32,False
2019-01-22,31,False
2019-01-23,60,False
2019-01-24,31,False
2019-01-25,32,False
2019-01-26,36,False
2019-01-27,0,False
2019-01-28,31,False
2019-01-29,46,False
2019-01-30,46,False
2019-01-31,78,False
