,date,BIDU,isPartial
0,2012-01-01,80.83999999999999,False
1,2012-01-02,94.0,False
2,2012-01-03,94.0,False
3,2012-01-04,76.14,False
4,2012-01-05,63.919999999999995,False
5,2012-01-06,79.89999999999999,False
6,2012-01-07,61.099999999999994,False
7,2012-01-08,69.56,False
8,2012-01-09,90.24,False
9,2012-01-10,80.83999999999999,False
10,2012-01-11,74.25999999999999,False
11,2012-01-12,62.98,False
12,2012-01-13,70.5,False
13,2012-01-14,76.14,False
14,2012-01-15,49.82,False
15,2012-01-16,66.74,False
16,2012-01-17,77.08,False
17,2012-01-18,68.61999999999999,False
18,2012-01-19,71.44,False
19,2012-01-20,71.44,False
20,2012-01-21,71.44,False
21,2012-01-22,56.4,False
22,2012-01-23,81.78,False
23,2012-01-24,82.72,False
24,2012-01-25,83.66,False
25,2012-01-26,75.19999999999999,False
26,2012-01-27,78.96,False
27,2012-01-28,60.16,False
28,2012-01-29,60.16,False
29,2012-01-30,77.08,False
30,2012-01-31,72.38,False
0,2012-02-01,78.85,False
1,2012-02-02,78.02,False
2,2012-02-03,78.85,False
3,2012-02-04,54.779999999999994,False
4,2012-02-05,63.08,False
5,2012-02-06,71.38,False
6,2012-02-07,67.22999999999999,False
7,2012-02-08,78.02,False
8,2012-02-09,57.269999999999996,False
9,2012-02-10,83.0,False
10,2012-02-11,55.61,False
11,2012-02-12,55.61,False
12,2012-02-13,65.57,False
13,2012-02-14,72.21,False
14,2012-02-15,64.74,False
15,2012-02-16,65.57,False
16,2012-02-17,79.67999999999999,False
17,2012-02-18,57.269999999999996,False
18,2012-02-19,53.949999999999996,False
19,2012-02-20,58.099999999999994,False
20,2012-02-21,62.25,False
21,2012-02-22,61.419999999999995,False
22,2012-02-23,73.03999999999999,False
23,2012-02-24,60.589999999999996,False
24,2012-02-25,60.589999999999996,False
25,2012-02-26,55.61,False
26,2012-02-27,61.419999999999995,False
27,2012-02-28,70.55,False
28,2012-02-29,61.419999999999995,False
0,2012-03-01,79.89999999999999,False
1,2012-03-02,75.64999999999999,False
2,2012-03-03,63.75,False
3,2012-03-04,62.9,False
4,2012-03-05,76.5,False
5,2012-03-06,71.39999999999999,False
6,2012-03-07,79.05,False
7,2012-03-08,73.95,False
8,2012-03-09,76.5,False
9,2012-03-10,63.75,False
10,2012-03-11,58.65,False
11,2012-03-12,83.3,False
12,2012-03-13,76.5,False
13,2012-03-14,71.39999999999999,False
14,2012-03-15,73.95,False
15,2012-03-16,68.85,False
16,2012-03-17,69.7,False
17,2012-03-18,51.85,False
18,2012-03-19,84.14999999999999,False
19,2012-03-20,72.25,False
20,2012-03-21,64.6,False
21,2012-03-22,70.55,False
22,2012-03-23,82.45,False
23,2012-03-24,67.14999999999999,False
24,2012-03-25,69.7,False
25,2012-03-26,85.0,False
26,2012-03-27,73.95,False
27,2012-03-28,73.95,False
28,2012-03-29,77.35,False
29,2012-03-30,82.45,False
30,2012-03-31,59.5,False
0,2012-04-01,54.94,False
1,2012-04-02,77.08,False
2,2012-04-03,67.24,False
3,2012-04-04,71.33999999999999,False
4,2012-04-05,60.68,False
5,2012-04-06,58.22,False
6,2012-04-07,52.48,False
7,2012-04-08,68.88,False
8,2012-04-09,72.16,False
9,2012-04-10,81.17999999999999,False
10,2012-04-11,75.44,False
11,2012-04-12,80.36,False
12,2012-04-13,69.7,False
13,2012-04-14,60.68,False
14,2012-04-15,72.16,False
15,2012-04-16,67.24,False
16,2012-04-17,82.0,False
17,2012-04-18,63.13999999999999,False
18,2012-04-19,74.61999999999999,False
19,2012-04-20,72.16,False
20,2012-04-21,64.78,False
21,2012-04-22,64.78,False
22,2012-04-23,56.58,False
23,2012-04-24,68.88,False
24,2012-04-25,72.16,False
25,2012-04-26,63.959999999999994,False
26,2012-04-27,80.36,False
27,2012-04-28,66.42,False
28,2012-04-29,50.839999999999996,False
29,2012-04-30,69.7,False
0,2012-05-01,59.94,False
1,2012-05-02,55.5,False
2,2012-05-03,64.38,False
3,2012-05-04,66.6,False
4,2012-05-05,59.94,False
5,2012-05-06,60.68,False
6,2012-05-07,59.2,False
7,2012-05-08,70.3,False
8,2012-05-09,64.38,False
9,2012-05-10,63.64,False
10,2012-05-11,68.08,False
11,2012-05-12,56.24,False
12,2012-05-13,46.62,False
13,2012-05-14,69.56,False
14,2012-05-15,71.78,False
