date,IBM stock,isPartial
2014-02-01,36,False
2014-02-02,30,False
2014-02-03,85,False
2014-02-04,96,False
2014-02-05,99,False
2014-02-06,56,False
2014-02-07,100,False
2014-02-08,34,False
2014-02-09,30,False
2014-02-10,67,False
2014-02-11,91,False
2014-02-12,97,False
2014-02-13,73,False
2014-02-14,65,False
2014-02-15,48,False
2014-02-16,32,False
2014-02-17,44,False
2014-02-18,66,False
2014-02-19,70,False
2014-02-20,68,False
2014-02-21,75,False
2014-02-22,34,False
2014-02-23,17,False
2014-02-24,77,False
2014-02-25,72,False
2014-02-26,59,False
2014-02-27,91,False
2014-02-28,78,False
